DSS File:	M:\General\DonJ\backwater\Fish\LatestYBW2.dss
Stage Elevatopn Path:	/BIG SUNFLOWER/ANGUILLA/ELEV/01MAR1949/1DAY/BSMREC/
Stage Area Path:	/BIG SUNFLOWER/ANGUILLA/ELEV-AREA//STAGE AREA CURVE/2YR_PRO/
Time Window:	3/1 - 6/30
Duration: 8 Days
Min Spawning Depth: 1 Feet
Max Rearing Depth: 10 Feet
Min Rearing Depth: 0 Feet
Max Rearing Depth: 2 Feet
Count Orphaned Areas: false
Count Deep Areas true

Year	Stage	Total	Restricted	Spawning
		Rearing	Rearing
3/1/1949	94.7	7,052.1	2,664.2	2,761.8
3/2/1949	94.3	6,387.3	2,427.5	2,715.0
3/3/1949	94.2	6,179.1	2,353.4	2,651.5
3/4/1949	94.0	5,982.9	2,283.5	2,616.2
3/5/1949	93.9	5,835.3	2,226.9	2,581.8
3/6/1949	93.8	5,700.5	2,173.2	2,539.6
3/7/1949	93.7	5,560.6	2,117.4	2,550.9
3/8/1949	93.6	5,409.4	2,057.2	2,495.4
3/9/1949	93.5	5,295.5	2,011.8	2,253.4
3/10/1949	93.4	5,198.1	1,973.0	2,252.4
3/11/1949	93.4	5,137.3	1,948.8	2,039.3
3/12/1949	93.3	5,079.8	1,925.8	1,940.5
3/13/1949	93.3	5,012.7	1,899.1	1,782.7
3/14/1949	93.3	5,031.5	1,906.6	1,661.1
3/15/1949	93.2	4,927.0	1,865.0	1,669.5
3/16/1949	92.9	4,607.1	1,734.1	1,696.5
3/17/1949	92.9	4,595.4	1,728.8	1,697.7
3/18/1949	92.6	4,309.0	1,598.2	1,726.6
3/19/1949	92.5	4,173.0	1,536.2	1,740.4
3/20/1949	92.3	3,958.6	1,438.4	1,762.0
3/21/1949	92.1	3,800.8	1,366.5	1,778.0
3/22/1949	92.6	4,299.1	1,593.7	2,106.8
3/23/1949	92.7	4,363.0	1,622.8	2,128.9
3/24/1949	92.7	4,336.5	1,610.8	2,131.5
3/25/1949	93.3	5,079.4	1,925.7	2,642.5
3/26/1949	94.1	6,059.7	2,310.8	3,343.5
3/27/1949	96.0	9,350.9	3,414.7	5,868.9
3/28/1949	96.3	9,611.8	3,215.2	6,391.3
3/29/1949	96.4	9,699.1	3,148.5	5,970.4
3/30/1949	96.5	10,228.0	3,520.6	5,510.9
3/31/1949	96.5	10,228.0	3,518.7	5,063.2
4/1/1949	96.5	10,228.0	3,509.1	3,849.7
4/2/1949	96.5	10,228.0	3,495.4	3,848.8
4/3/1949	96.4	10,228.0	3,626.4	3,629.3
4/4/1949	96.4	9,657.7	3,180.1	3,264.1
4/5/1949	96.1	9,417.9	3,363.5	3,175.2
4/6/1949	95.8	8,986.5	3,300.8	3,097.4
4/7/1949	95.5	8,449.4	3,128.2	3,033.8
4/8/1949	94.7	6,982.4	2,639.4	3,116.0
4/9/1949	94.9	7,280.4	2,745.5	2,898.7
4/10/1949	94.5	6,702.4	2,539.7	2,731.9
4/11/1949	94.2	6,244.0	2,376.5	2,580.1
4/12/1949	94.1	6,100.8	2,325.5	2,316.2
4/13/1949	94.0	5,971.2	2,279.3	2,099.4
4/14/1949	93.9	5,855.2	2,234.8	1,864.6
4/15/1949	93.9	5,851.8	2,233.4	1,768.4
4/16/1949	93.7	5,601.4	2,133.7	1,605.5
4/17/1949	93.5	5,342.9	2,030.7	1,477.6
4/18/1949	93.4	5,113.2	1,939.2	1,334.9
4/19/1949	93.1	4,767.5	1,801.4	1,086.6
4/20/1949	92.8	4,475.4	1,674.1	878.4
4/21/1949	92.5	4,155.4	1,528.2	910.7
